text,label
"Project update: Hey, let me know if you are free for a quick workout or chat after the lecture.",0
Gym routine tonight?: Please push the latest matrix multiplication code modifications to the main branch tonight.,0
Customer support ticket resolved: The software deployment was completely successful. Let me know if you run into any operational bugs.,0
Flight reservation details: Thanks for confirming your attendance for the presentation scheduled for next Monday.,0
Project update: Your monthly internet service bill has been processed. Current outstanding balance is $0.00.,0
Gym routine tonight?: The software deployment was completely successful. Let me know if you run into any operational bugs.,0
Lab submission confirmed: Can you verify if the seminar room is booked for the morning presentation?,0
Prize Winner Notification!: Final Warning: Your cloud storage access credentials will expire within 24 hours. Click this link to run identity validation.,1
URGENT Alert: Account status: Your online access will be permanently deactivated within 24 hours. Reset your security credentials here.,1
Action Required: Security Update: Critical security patch required. Log into your core banking dashboard via this external gateway link.,1
Gym routine tonight?: The professor uploaded the new grading criteria for the OOP lab on the portal.,0
Weekly sync meeting: Thanks for confirming your attendance for the presentation scheduled for next Monday.,0
Lunch break update: The professor uploaded the new grading criteria for the OOP lab on the portal.,0
URGENT Alert: Account status: Final Warning: Your cloud storage access credentials will expire within 24 hours. Click this link to run identity validation.,1
Data structures assignment: Your monthly internet service bill has been processed. Current outstanding balance is $0.00.,0
"Action Required: Security Update: Congratulations! You won a $1,000 gift card reward. Claim your payout immediately on our web portal.",1
Project update: Can you verify if the seminar room is booked for the morning presentation?,0
"Account Locked Immediately: Congratulations! You won a $1,000 gift card reward. Claim your payout immediately on our web portal.",1
"Data structures assignment: Hey, let me know if you are free for a quick workout or chat after the lecture.",0
Action Required: Security Update: Your online access will be permanently deactivated within 24 hours. Reset your security credentials here.,1
"Action Required: Security Update: Congratulations! You won a $1,000 gift card reward. Claim your payout immediately on our web portal.",1
Account Locked Immediately: Your online access will be permanently deactivated within 24 hours. Reset your security credentials here.,1
Invoice for monthly services: Just a quick reminder that your weekly expense report needs to be submitted by end of day today.,0
"Security Suspension Warning: Dear customer, your credit card transaction was flagged. Click this secure portal link to verify your ownership.",1
Customer support ticket resolved: The professor uploaded the new grading criteria for the OOP lab on the portal.,0
Gym routine tonight?: Let's review the data structures and algorithms slides before the 3 PM walkthrough.,0
Update payment method immediately: Critical security patch required. Log into your core banking dashboard via this external gateway link.,1
"Gym routine tonight?: Hi, I updated the shared repository with the latest documentation updates. Please check.",0
Prize Winner Notification!: Final Warning: Your cloud storage access credentials will expire within 24 hours. Click this link to run identity validation.,1
Crypto Wallet Transfer Authorized: Your online access will be permanently deactivated within 24 hours. Reset your security credentials here.,1
"Verify Bank Profile Info: Congratulations! You won a $1,000 gift card reward. Claim your payout immediately on our web portal.",1
Update payment method immediately: Your package delivery has been suspended due to an incorrect tracking address. Correct it immediately on our web page.,1
Prize Winner Notification!: Your online access will be permanently deactivated within 24 hours. Reset your security credentials here.,1
Account Locked Immediately: Your bank account has been locked. Click here to verify your identity immediately on this link.,1
Invoice for monthly services: Please push the latest matrix multiplication code modifications to the main branch tonight.,0
Account Locked Immediately: Your package delivery has been suspended due to an incorrect tracking address. Correct it immediately on our web page.,1
"Crypto Wallet Transfer Authorized: Dear customer, your credit card transaction was flagged. Click this secure portal link to verify your ownership.",1
Unauthorized Login Detected: Your bank account has been locked. Click here to verify your identity immediately on this link.,1
